date,event,severity
2022-02-24,Russia launches full-scale invasion of Ukraine,critical
2022-09-26,Nord Stream pipeline sabotage,high
2023-10-07,Hamas-led attack on Israel,critical
2023-12-19,Houthi intensification of attacks on Red Sea shipping,high
2024-01-11,Initial US/UK coalition strikes on Houthi targets,high
2024-04-01,Israeli strike on Iranian consulate in Damascus,critical
2024-04-13,Iran launches large-scale drone and missile attack on Israel,critical
2025-06-13,Israel and US launch major airstrikes on Iranian nuclear and military facilities,critical
2025-06-23,Iran retaliates with missile strikes on US-linked bases,high
2025-06-24,US-brokered ceasefire halts direct Iran-Israel hostilities,high
2025-07-20,Israel conducts airstrikes on Hodeidah in response to drone attack,high
2026-02-28,US-Israel launch Operation Epic Fury/Roaring Lion against Iran,critical
2026-03-01,Iran initiates large-scale missile/cyber retaliation against US/Israel/Gulf,critical
2026-05-04,Iran launches missile strikes on UAE following US Strait of Hormuz intervention,high
